team,conference,color,alt_color,logo
Colorado College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2144.png
Colorado Mesa,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/11.png
Colorado Mines,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2146.png
Colorado State,Mountain West,#004537,#ffc425,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Colorado State-Pueblo,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2570.png
Columbia,,#174785,#004b85,http://a.espncdn.com/i/teamlogos/ncaa/500/171.png
Concord,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2148.png
Concordia (AL),,,,http://a.espncdn.com/i/teamlogos/ncaa/500/3099.png
Concordia College (MI),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2985.png
Concordia (IL),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2151.png
Concordia (MN),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2152.png
Concordia-St. Paul,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/3066.png
Concordia (WI),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/409.png
Connecticut,American Athletic,#001d40,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png
Cornell,,#d60027,#101010,http://a.espncdn.com/i/teamlogos/ncaa/500/172.png
Cornell College (IA),,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/2155.png
Crown College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/509.png
Culver-Stockton,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/510.png
Cumberland,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/2161.png
Cumberland College,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/511.png
Curry,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/40.png
Dakota State,,#000000,,http://a.espncdn.com/i/teamlogos/ncaa/500/512.png
Dakota Wesleyan,,,,http://a.espncdn.com/i/teamlogos/ncaa/500/513.png
Dartmouth,,#005730,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/159.png
